EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
674522,JASPER CO.,BROWNDALE,01/02/2017,903,Tornado, ,EF1,0,0,30000,0,TX,CST-6, ,112897,C,241,LCH,0,0,NWS Storm Survey, ,2.55,100,5,SW,2,SSW,BROWNDALE,01/02/2017,904,31.0707,-94.021,31.087,-93.9824,"A tornado touched down in the Rayburn Country community, blowing|down multiple trees on the golf course and surrounding properties.|The tornado ended at US Hwy 96. The estimated peak wind was 105 MPH.","A line of thunderstorms moved across Southeast Texas during the morning of the 2nd with a cold front. A pair of tornadoes occurred with this line of storms.",1
674523,NEWTON CO.,BELGRADE,01/02/2017,944,Tornado, ,EF1,0,0,30000,0,TX,CST-6, ,112897,C,351,LCH,0,0,NWS Storm Survey, ,2.57,100,4,WSW,1,W,BELGRADE,01/02/2017,945,30.5821,-93.758,30.6012,-93.7209,"A tornado touched down near the Backwoods Beach community. An eyewitness|watched it move across the lakes before it snapped multiple pine trees|around the beach, blocking roads but missing the buildings. The estimated peak wind was 105 MPH.","A line of thunderstorms moved across Southeast Texas during the morning of the 2nd with a cold front. A pair of tornadoes occurred with this line of storms.",2
674503,BEAUREGARD PAR.,FIELDS,01/02/2017,1006,Tornado, ,EF1,0,0,25000,0,LA,CST-6, ,112896,C,11,LCH,0,0,NWS Storm Survey, ,0.3,20,4,E,4,E,FIELDS,01/02/2017,1007,30.5732,-93.5343,30.5725,-93.5294,"A tornado touched down at the Mystic Baptist Church. Part of the|metal roof was peeled off and several trees were snapped. The peak winds were estimated at 90 MPH.","A moist and unstable air mass spread north from the gulf while a strong cold front pushed in from the west. A line of thunderstorms developed along the frontal boundary as it moved across the region. Several short lived tornadoes occurred along the leading edge of the squall line along with strong wind gusts.",3
674510,BEAUREGARD PAR.,SEALE,01/02/2017,1017,Tornado, ,EF1,0,0,50000,0,LA,CST-6, ,112896,C,11,LCH,0,0,NWS Storm Survey, ,1.2,50,1,SSW,1,ESE,SEALE,01/02/2017,1018,30.5618,-93.4362,30.5638,-93.4161,"A tornado touched down along Highway 27 north of Oretta, blowing|down several trees. It moved across a wooded field and snapped|several trees along Foster Tee and North Foster Road. Some of the|trees landed on homes and caused damage. A barn/garage had part of|its metal roof ripped off. The estimated peak wind was 105 MPH.","A moist and unstable air mass spread north from the gulf while a strong cold front pushed in from the west. A line of thunderstorms developed along the frontal boundary as it moved across the region. Several short lived tornadoes occurred along the leading edge of the squall line along with strong wind gusts.",4
674504,BEAUREGARD PAR.,KERNAN,01/02/2017,1030,Tornado, ,EF1,0,0,150000,0,LA,CST-6, ,112896,C,11,LCH,0,0,NWS Storm Survey, ,2.74,100,3,SSE,4,S,FULTON,01/02/2017,1034,30.4543,-93.2502,30.461,-93.2049,"A tornado touched down south of Ragley, damaging near two dozen homes.|Most of the damage was to roofing material, although some homes|had trees land on them. Several garages and outbuildings were|also damaged or destroyed. Along US Highway 171, several power|poles were blown down with debris on the highway. The peak winds were estimated at 110 MPH.","A moist and unstable air mass spread north from the gulf while a strong cold front pushed in from the west. A line of thunderstorms developed along the frontal boundary as it moved across the region. Several short lived tornadoes occurred along the leading edge of the squall line along with strong wind gusts.",5
674511,BEAUREGARD PAR.,KERNAN,01/02/2017,1030,Tornado, ,EF1,0,0,20000,0,LA,CST-6, ,112896,C,11,LCH,0,0,NWS Storm Survey, ,4.64,100,5,NW,3,N,RAGLEY,01/02/2017,1032,30.5567,-93.3157,30.556,-93.2378,"A tornado touched down in a rural area south of Longville, snapping|pine trees along the way. One barn had part of its metal roof pulled|off. The estimate peak wind was 105 MPH.","A moist and unstable air mass spread north from the gulf while a strong cold front pushed in from the west. A line of thunderstorms developed along the frontal boundary as it moved across the region. Several short lived tornadoes occurred along the leading edge of the squall line along with strong wind gusts.",6
674512,RAPIDES PAR.,RAPIDES,01/02/2017,1106,Tornado, ,EF1,0,0,50000,0,LA,CST-6, ,112896,C,79,LCH,0,0,NWS Storm Survey, ,0.54,50,1,E,1,E,RAPIDES,01/02/2017,1107,31.3704,-92.5896,31.3727,-92.5808,"A tornado touched down along Boogaerts Road, removing part of|the roof of a single-wide mobile home. A carport was tipped over,|and several trees were snapped. Two other homes received minor|damage from flying debris. The estimated peak wind was 105 MPH.","A moist and unstable air mass spread north from the gulf while a strong cold front pushed in from the west. A line of thunderstorms developed along the frontal boundary as it moved across the region. Several short lived tornadoes occurred along the leading edge of the squall line along with strong wind gusts.",7
674505,EVANGELINE PAR.,MAMOU,01/02/2017,1130,Tornado, ,EF0,0,0,75000,0,LA,CST-6, ,112896,C,39,LCH,0,0,NWS Storm Survey, ,0.54,25,3,W,2,W,MAMOU,01/02/2017,1131,30.6231,-92.4694,30.6234,-92.4604,"A tornado briefly touched down on L D Verrette Lane, damaging|three homes. All three had roof damage, with partial metal roofing|material removed. The peak winds were estimated at 75 MPH.","A moist and unstable air mass spread north from the gulf while a strong cold front pushed in from the west. A line of thunderstorms developed along the frontal boundary as it moved across the region. Several short lived tornadoes occurred along the leading edge of the squall line along with strong wind gusts.",8
674506,RAPIDES PAR.,MEEKER,01/02/2017,1131,Tornado, ,EF1,0,0,250000,0,LA,CST-6, ,112896,C,79,LCH,0,0,NWS Storm Survey, ,1.4,100,3,SSE,3,SE,MEEKER,01/02/2017,1133,31.0325,-92.3705,31.0334,-92.3468,"A tornado touched down along Lloyds Bridge Road, damaging several|homes and large barns. Debris was strewn across the adjacent fields. The estimated peak wind was 110 MPH.","A moist and unstable air mass spread north from the gulf while a strong cold front pushed in from the west. A line of thunderstorms developed along the frontal boundary as it moved across the region. Several short lived tornadoes occurred along the leading edge of the squall line along with strong wind gusts.",9
674507,AVOYELLES PAR.,BUNKIE,01/02/2017,1144,Tornado, ,EF1,0,0,1000000,0,LA,CST-6, ,112896,C,9,LCH,0,0,NWS Storm Survey, ,1.64,200,1,WSW,1,NNE,BUNKIE,01/02/2017,1145,30.9446,-92.1952,30.962,-92.1764,"A tornado formed over Bunkie and produced widespread tree damage|across Bunkie, especially the western side of town. Two homes|were destroyed when trees landed on them and came through the roof.|At least another 70 buildings were damaged or destroyed in Bunkie. The peak estimated wind speed was 105 MPH.","A moist and unstable air mass spread north from the gulf while a strong cold front pushed in from the west. A line of thunderstorms developed along the frontal boundary as it moved across the region. Several short lived tornadoes occurred along the leading edge of the squall line along with strong wind gusts.",10
